KIDSDRIV,AGE,HOMEKIDS,YOJ,TIF,CLM_FREQ,MVR_PTS,CAR_AGE,Income_converted,HOME_VAL_converted,BLUEBOOK_converted,LE_PARENT1,LE_MSTATUS,LE_EDUCATION,LE_CAR_USE,LE_CAR_TYPE,LE_REVOKED
0,45.0,1,10.0,4,0,1,17.0,89187.0,241074.0,17720.0,0,0,2,1,5,0
0,36.0,0,10.0,7,2,3,13.0,149140.0,399270.0,34700.0,0,1,2,0,1,0
0,53.0,0,7.0,10,0,2,7.0,3528.0,73903.0,7150.0,0,0,4,1,5,0
0,55.0,0,10.0,4,0,0,13.0,109900.0,320515.0,9500.0,0,0,2,1,5,0
0,46.0,0,13.0,10,0,2,9.0,26353.0,128701.0,11350.0,0,0,1,1,2,0
0,54.0,0,15.0,1,0,1,21.0,64787.0,228544.0,6900.0,0,0,2,1,5,0
0,51.0,0,7.0,1,0,3,17.0,171649.0,434676.0,23760.0,0,0,2,1,0,0
0,47.0,0,14.0,1,2,0,8.0,50542.0,234379.0,12340.0,0,0,1,1,0,0
0,48.0,0,10.0,6,0,0,8.0,70210.0,250072.0,11450.0,0,0,4,0,2,0
0,54.0,0,14.0,7,0,1,9.0,38999.0,155493.0,26150.0,0,0,1,0,1,0
0,43.0,0,0.0,7,0,0,1.0,0.0,97754.0,8030.0,0,1,4,0,2,0
0,62.0,0,17.0,11,0,0,9.0,64106.0,242833.0,14450.0,0,0,3,1,3,0
0,57.0,0,14.0,4,0,1,10.0,135361.0,390682.0,15040.0,0,0,2,1,0,0
0,43.0,0,12.0,6,0,0,16.0,65069.0,178778.0,12310.0,0,0,1,1,0,0
0,52.0,0,11.0,13,0,0,1.0,23196.0,137379.0,15820.0,0,0,4,1,5,0
1,41.0,2,12.0,3,0,3,1.0,0.0,0.0,9260.0,0,0,0,0,5,0
0,51.0,0,10.0,6,0,1,12.0,52391.0,0.0,6740.0,0,1,1,1,3,0
0,29.0,2,8.0,6,0,0,9.0,36324.0,0.0,8030.0,1,1,4,0,2,0
0,61.0,0,11.0,1,0,0,19.0,78143.0,0.0,21670.0,0,1,3,1,4,0
0,48.0,0,10.0,7,0,0,7.0,47606.0,186364.0,22000.0,0,1,0,1,0,0
0,41.0,0,10.0,10,0,1,9.0,34473.0,170845.0,14250.0,0,0,4,1,5,0
0,46.0,0,11.0,4,1,0,1.0,52543.0,219675.0,18450.0,0,0,4,0,4,0
0,39.0,0,9.0,4,0,0,9.0,35366.0,166481.0,6790.0,0,0,4,1,5,0
0,44.0,3,15.0,7,2,0,5.0,38108.0,196692.0,5900.0,0,0,0,1,2,1
0,46.0,0,12.0,3,0,0,1.0,88359.0,267679.0,31980.0,0,0,2,1,0,1
0,36.0,0,11.0,1,0,1,7.0,37869.0,160542.0,5290.0,0,0,1,1,5,0
0,53.0,0,13.0,6,0,0,7.0,114845.0,351686.0,24930.0,0,0,1,0,2,1
0,39.0,1,6.0,1,0,0,1.0,56014.0,234014.0,23370.0,0,0,1,1,2,1
0,42.0,0,12.0,1,0,0,7.0,38944.0,146952.0,12580.0,0,0,4,1,0,0
2,40.0,3,9.0,13,0,0,5.0,24359.0,143208.0,11820.0,0,0,0,1,2,0
0,37.0,0,8.0,4,2,4,11.0,60121.0,151782.0,11210.0,0,1,3,1,5,0
0,35.0,2,14.0,11,0,0,14.0,77303.0,206251.0,16880.0,0,0,1,0,4,0
0,49.0,0,13.0,1,1,0,1.0,59148.0,162428.0,12310.0,0,0,4,1,5,0
0,48.0,0,12.0,1,5,0,1.0,47748.0,154669.0,11070.0,0,0,4,1,5,1
0,53.0,0,7.0,15,0,1,1.0,34730.0,169666.0,10270.0,0,0,4,1,5,0
0,44.0,0,13.0,6,0,1,1.0,23276.0,109877.0,16000.0,0,0,4,0,2,0
